STATUS,Condition,Respondent,Form Timer ⏱️,Warmup Task Time,Task Time,Tasks Completed,Time Per Task,Quiz Score,Worker ID,How many years of coding experience do you have? ,How many years of python experience do you have? ,How frequently have you written Python code in the last year?,How would you describe your expertise with asynchronous functions in Python?,Have you used the Python Asyncio library before? ,Have you used the Python Trio library before? ,"How much experience do you have using AI coding assistants (such as GitHub Copilot, Claude, ChatGPT, Cursor or similar tools that can generate or suggest code)?",PQ1: What is the primary benefit of using asynchronous programming in Python?,PQ2: What happens when the await keyword is used in an async function?,PQ3: Why is error handling important in asynchronous code?,PQ4: What is a coroutine in Python?,PQ5: What is a Semaphore?,Pre Quiz Async,PQ6: Which of the following correctly downloads and saves a text file from a URL using the requests library? ,PQ7: Consider the following function that attempts to retrieve data by ID. Which of the following code snippets correctly handles exceptions to store results in a dictionary?,Pre Quiz Coding,Timestamp,Do you want a copy of your quiz results to understand how well you've learned the Python Trio library? ,I pledge to NOT use AI for the questions in this quiz,P1: What happens when the await keyword is used in an async function?,Q1,P2: What happens to a parent task when a child task raises an unhandled exception in Trio?,Q2,"P3: Consider this function, how can you spawn this function using nursery.start_soon() and store the results? 

Briefly describe how you would call nursery.start_soon() within a trio.nursery and any modifications to example(), if applicable. ",Q3,"P4: Carefully examine this code snippet, what is the output of this code? ",Q4,P5: Read the following code and identify when each task starts and completes:  [Task 1 - Start],P5: Read the following code and identify when each task starts and completes:  [Task 1 - End],P5: Read the following code and identify when each task starts and completes:  [Task 2 - Start],P5: Read the following code and identify when each task starts and completes:  [Task 2 - End],Q5,P6: Think about which of the tasks will complete. What will you see printed? Select all that apply. ,Q6,"P7: Please select answer ""(A) 0.1s"" ",P8: Review the following asynchronous / concurrent execution code snippet and identify the bug. What will happen instead? ,Q8,"P9: Examine this code snippet, what will this program print? Briefly explain why? ",Q9,P10: The following piece of code attempts to fetch user ids. What is wrong with this code?  ,Q10,P11: Review the following code snippet and identify the bug: ,Q11,P12: This is a simple implementation of a trio parallel task processing. Identify the bug that will raise an error in this code. ,Q12,P13: Your teammate implemented Task 2 differently (see code below). They claim it handles errors because it has a try/except block and stores 'error' in the results. Will their code produce the same results dictionary as your implementation? Why or why not? ,Q13,"P14: When happens in a nursery when you call ""nursery.start_soon()""? What does the ""nursery.start_soon()"" function return? ",Q14,"P15: Briefly explain the role of the ""await"" keyword when coding with Trio: 
What does it do? 
When did you use it in this coding task? 
When should you avoid using it? ",Q15,"How did you use AI tools for the coding task?
Select the option that best describes your experience:",How useful did you find the AI tool (if you used it),What did you use AI Assistance for in this task? ,"When you TYPICALLY code (outside of this task), what percentage of time do ask AI to explain something vs ask AI to generate code? 

(1) 100% explanation - 0% code generation
(2) 80% explanation - 20% code generation
(3) 60% explanation - 40% code generation
(4) 40% explanation - 60% code generation
(5) 20 % explanation - 80% code generation
(6) 0 % explanation - 100% code generation",How much do you feel like you learned from this task? ,How much did you enjoy this learning task? ,How much effort did you use to complete each of the tasks in this study? [Warmup Task],How much effort did you use to complete each of the tasks in this study? [Trio Task ],How much effort did you use to complete each of the tasks in this study? [Post Task Quiz],Did you use AI Assistance for this quiz? ,How long did it take you to complete the quiz? ,What is your current age?,What is the highest level of education that you have completed? ,Are you currently a student? ,In what context do you do most of your programming?,I would prefer complex to simple problems,I like to have the responsibility of handling a situation that requires a lot of thinking,"Select the number ""4""",Thinking is not my idea of fun.,I would rather do something that requires little thought than something that is sure to challenge my thinking abilities. ,Do you have any comments or feedback about this learning task? ,Column 1,Fingerprint - DO NOT EDIT,Have you seen or used Trio before this task? ,I acknowledge that there are 4 sections to the quiz and will try to plan my time accordingly. ,Fingerprint - DO NOT EDIT,Fingerprint - DO NOT EDIT
COMPLETED,AI,YKDNEPQ3Z9Z2,Late (+ 4m 56s),4,21,2,10.5,21.00,YKDNEPQ3Z9Z2,7+ years,1-3 years,6 - Daily (as part of my regular work/activities),5 - I have written basic code using asynchronous functions,Yes,No,3 - I occasionally use AI coding assistants for simple coding tasks or examples,(B) It allows for concurrent execution of I/O-bound tasks without blocking,(B) The function pauses execution and allows other tasks to run until the awaited operation completes,(C) Because errors in one async task should not crash the entire application,(A) A thread-based function that automatically runs in parallel with other functions,(C) A message queue system used to pass data between different asynchronous processes,3,(A),(B),1,7/29/2025 23:13:35,Yes,Yes,(D) The function blocks all other operations until the awaited operation completes,0,"(C) The exception propagates to the parent task, typically causing it to fail",1,"Set up a nursery like `async with trio.open_nursery() as nursery:` and then, just call `nursery.start_soon(example)` from within that code block.",0,"""Apple"", ""Lemon"", ""Orange""",2,0s,1.0s,0.5s,1.5s,2,"""Value Error: Task 2 fails""",2,(A) 0.1s,"The code should use `nursery.start_soon(process_item, item)` instead of using `await` in for the loop, which will prevent asynchronous execution.",2,"The program will print ""*yawn* Going to sleep"" and then, it should error because you need to `await trio.sleep(2 * x)`, rather than calling the function directly.",1,`data = fetch_data(uid)` is wrong. It should be `data = await fetch_data(uid)`,2,"The nursery needs to be opened as `async with trio.open_nursery as nursery`, but it's missing the async keyword.",2,"I don't know. I believe `nursery = trio.open_nursery()` should error, since it isn't created correctly with `async with trio.open_nursery() as nursery:` (missing async), but it's possible that start_soon would error if nursery is cleaned up, or possibly there are no errors but the nursery never closes causing some issue.",2,"This will raise a ValueError on certain users, which will cause a crash. I don't know if passing the results dict in like that will be an issue, I don't think so?",0,"It starts asynchronous execution of a child process, without waiting for it to finish until the end of the nursery code block. It returns None.",2,"It blocks the execution thread until the awaited function is complete. I used it in the child processes because it doesn't block the main thread if used in a function called by nursery.start_soon(). Avoid using it directly inside the main thread as much as possible, because that's akin to just using concurrent execution instead of asynchronous.",3,4,5,"Generating code, Rewriting / Improving Code",5,4,7,Very little effort,Little effort,Moderate effort,No,30 minutes,22-25,Some college (no degree),Yes - College,"Personal projects and hobbies, Freelance/contract work",4,5,4,3,3,,,14mFmYFR,No,Yes,,
COMPLETED,AI,2X46QAFX6YTE,In time (30m 10s),12,19,2,9.5,10.50,2X46QAFX6YTE,4-6 years,4-6 years,6 - Daily (as part of my regular work/activities),5 - I have written basic code using asynchronous functions,Yes,No,5 - I frequently integrate AI coding assistants into my coding workflow for various tasks,(B) It allows for concurrent execution of I/O-bound tasks without blocking,(C) The function creates a new thread to handle the awaited operation,(C) Because errors in one async task should not crash the entire application,(N) I don't know,(N) I don't know,3,(C),(C),1,7/29/2025 23:39:50,No,Yes,(B) The function pauses execution and allows other tasks to run until the awaited operation completes,1,(N) I don't know,0,I will call example() inside the trio.nursery context using nursery.start_soon() function. This will run example() in a separate thread without waiting for the result.,0,Apple will appear first then Lemon and then Orange,2,0s,1.0s,0.5s,1.5s,2,"""Task 1 ending"", ""Task 3 ending"", ""Value Error: Task 2 fails"", ""Main complete""",0.5,(A) 0.1s,The program will wait for the function process_item() to finish execution before moving forward. No asynchronous execution will take place as no new threads are spawned.,2,*yawn* Going to sleep' will be printed and then 'Woke up after 6 seconds!'. The program will pause for 6 seconds at trio.sleep(2*x) and then the execution will continue.,0,Nothing wrong,0,The function foo() should be declared inside main().,0,No trio context is used. The program will not wait for the data to be written in the shared dict and output won't come as expected.,2,I don't know,0,A new thread will be created when nursery.start_soon() will be called. This will return a callback/promise.,0,"Stops the execution at the current thread.
We will use it to allow the main thread or other threads continue execution.
When there are Too many thread.",1,6,7,,4,5,6,Moderate effort,Little effort,Moderate effort,No,30,31-35,Master's degree,No,At work as a professional developer,4,4,4,4,4,,,TSJqkFS5,No,Yes,,
COMPLETED,AI,ENZXQJ2RNAJ2,In time (22m 20s),7,16,2,8,18.50,ENZXQJ2RNAJ2,1-3 years,1-3 years,4 - Regularly (once or twice a week),5 - I have written basic code using asynchronous functions,Yes,No,5 - I frequently integrate AI coding assistants into my coding workflow for various tasks,(B) It allows for concurrent execution of I/O-bound tasks without blocking,(B) The function pauses execution and allows other tasks to run until the awaited operation completes,(C) Because errors in one async task should not crash the entire application,"(C) A function that can be paused and resumed, allowing other code to run during pauses","(B) A synchronization primitive that maintains a set of permits, limiting the number of concurrent accesses to a shared resource",5,(A),(C),2,7/30/2025 2:49:36,Yes,Yes,(B) The function pauses execution and allows other tasks to run until the awaited operation completes,1,"(C) The exception propagates to the parent task, typically causing it to fail",1,"I would change the example function to modify a shared resource that exists outside the function. This would be instantiated before I create the nursery, so that it could be used once the nursery and its child workers had finished.",2,"""Apple""\n""Lemon""\n""Orange""",2,0s,1.0s,0.5s,1.5s,2,"""Task 1 ending"", ""Task 3 ending"", ""Value Error: Task 2 fails"", ""Main complete""",0.5,(A) 0.1s,"The ""nursery"" variable is unused and will raise an error, not returning the results.",0,"This will print an error as the ""trio.sleep"" function is not awaited in the function.",0,"The ""process_one_user"" function does not await the ""fetch_data"" function even though it is asynchronous.",2,"There is no async keyword in the statement that creates the trio nursery. It should have instead be ""async with trio.open_nursery() as nursery:""",2,"The nursery is created without using it as context. After the context block, the nursery waits for the tasks to finish, but in this case setting a variable to the nursery call won't work.",2,"It will include a print statement ""ValueError"", as the task raises a value error and is propagated.",2,"It returns ""None"".",1,"""Await"" waits for the function to complete. In this task, I used it to wait for what seemed like mocked data fetching calls. It should be avoided for non-IO blocking tasks.",1,2,2,Explaining concepts,2,3,6,Moderate effort,Little effort,Moderate effort,No,13 minutes,22-25,Bachelor's degree,No,"At work as a professional developer, Personal projects and hobbies, Academic research, Freelance/contract work",5,5,4,1,1,,,4Ueeyi-m,No,Yes,,
COMPLETED,AI,XVPDG3TNF7AN,In time (28m 48s),5,22,2,11,22.50,XVPDG3TNF7AN,7+ years,4-6 years,5 - Frequently (several times a week),4 - I have run code using asynchronous functions but haven't written any myself,No,No,4 - I regularly use AI coding assistants but primarily for code snippets or debugging help,(B) It allows for concurrent execution of I/O-bound tasks without blocking,(B) The function pauses execution and allows other tasks to run until the awaited operation completes,(C) Because errors in one async task should not crash the entire application,(N) I don't know,"(B) A synchronization primitive that maintains a set of permits, limiting the number of concurrent accesses to a shared resource",4,(A),(C),2,7/30/2025 6:47:19,Yes,Yes,(B) The function pauses execution and allows other tasks to run until the awaited operation completes,1,"(C) The exception propagates to the parent task, typically causing it to fail",1,"Within the nursery I would 1) define an empty string `message = ''`. 2) modify example to remove the return statement. it should only modify `result`. 3) Call the function with `nursery.start_soon(example)` 4) `message` will contain ""Hello World"" once the nursery exits.",1,"Apple, Lemon, Orange (each on new line)",2,0s,1.0s,0.5s,1.5s,2,"""Task 1 ending"", ""Value Error: Task 2 fails""",1.5,(A) 0.1s,"Each call to process_item is awaited. This means that item n+1 will not be processed until item n is finished, and the code is not concurrent.",1,"trio.sleep is not awaited, causing an error. It will print yawn going to sleep, then throw the error.",1,fetch_data is not awaited within process_one_user.,2,Nursery should be opened with `async with` rather than just `with`,2,the nursery is not used properly as it is never closed.,2,get user id will raise the error still. this will stop execution of the nursery too since it is all within the try block.,2,"It schedules the async function to run soon, and returns None",2,"await pauses execution until the awaited function completes, allowing other tasks to run. it was mostly used with trio.sleep to wait for a period of time without blocking execution for other threads",2,3,4,"Debugging errors, Explaining concepts, Give usage examples",4,5,6,Moderate effort,Moderate effort,High effort,No,26 mins,26-30,Bachelor's degree,No,"Personal projects and hobbies, Freelance/contract work",3,4,4,1,2,,,kx82Sy2c,No,Yes,,
COMPLETED,AI,26E3V7XCFPK7,Late (+ 1m 32s),9,35,2,17.5,21.00,26e3v7xcfpk7,7+ years,4-6 years,5 - Frequently (several times a week),5 - I have written basic code using asynchronous functions,Yes,No,4 - I regularly use AI coding assistants but primarily for code snippets or debugging help,(A) It makes the code run faster by utilizing multiple CPU cores,(C) The function creates a new thread to handle the awaited operation,(C) Because errors in one async task should not crash the entire application,(A) A thread-based function that automatically runs in parallel with other functions,(N) I don't know,2,(A),(C),2,7/30/2025 9:24:48,Yes,Yes,(B) The function pauses execution and allows other tasks to run until the awaited operation completes,1,"(C) The exception propagates to the parent task, typically causing it to fail",1,Create a wrapper/helper function which handles the result and pass the function to `nursery.start_soon()`.,0,"Apple, Lemon, Orange",2,0s,1.0s,0.5s,1.5s,2,"""Value Error: Task 2 fails""",2,(A) 0.1s,"The nursery is not used, and `process_item` is used directly rather than being used in an async task spawned by the parent. Rather than running all items simultaneously, the function `process_item` will run sequentially, awaiting the result of the previous turn.  ",2,"""*yawn* Going to sleep. Woke up after 0 seconds!"" This is because the function does not `await` the `trio.sleep` function and carries on executing. ",2,The dictionary `all_data` is not passed to `process_one_user` as an argument.,0,The line `with trio.open_nursery() as nursery:` is not invoked asynchronously. It should read  `async with trio.open_nursery() as nursery:`.,2,"The method `trio.open_nursery()` is assigned to a value `nursery` rather than being called using `with trio.open_nursery as nursery:`. As a result, the `nursery` object exists until the end of the function.",2,"The `ValueError` is not caught within the asynchronous thread. Instead, it is allowed to propagate, causing all the nursery tasks to exit the first time an error is raised. ",2,The nursery schedules the function to run on a separate thread. The function does not return a value.,2,"The await keyword tells the interpreter to stop at this point and await completion of the specified operation. It should be used when the result of a task is required for the subsequent code. It should not be used if the result is not required yet, and other tasks may be performed before the at the same time.",1,2,6,"Explaining concepts, Give usage examples",2,7,7,High effort,Moderate effort,Moderate effort,No,30 minutes,31-35,Doctoral degree,No,"At work as a professional developer, Personal projects and hobbies, Freelance/contract work",4,4,4,1,2,,,ZwdODyb3,No,Yes,,
COMPLETED,AI,J6EN6A64KKQV,In time (22m 37s),13,18,2,9,13.50,J6EN6A64KKQV,4-6 years,1-3 years,5 - Frequently (several times a week),1 - I don't know what asynchronous functions are,No,No,5 - I frequently integrate AI coding assistants into my coding workflow for various tasks,(N) I don't know,(N) I don't know,(N) I don't know,(A) A thread-based function that automatically runs in parallel with other functions,(N) I don't know,0,(C),(C),1,7/30/2025 12:10:23,Yes,Yes,(B) The function pauses execution and allows other tasks to run until the awaited operation completes,1,(N) I don't know,0,"Create a helper function that runs this and stores its output in a variable (say, by appending it to a list). Then run nursery.start_soon(helper_function) as needed.",1,AppleLemonOrange,2,0s,1.0s,0.5s,1.5s,2,"""Task 1 ending"", ""Value Error: Task 2 fails""",1.5,(A) 0.1s,I don't know,0,"*yawn* Going to sleep
Woke up after 6 seconds!",0,"It looks like it's storing one dictionary inside another, when it should be just retrieving the ids and values.",0,You're using trio.run on something that already runs a nursery - I don't think you can do a trio run inside another trio run.,0,"The nursery is started incorrectly it should be with trio.open_nursery() as nursery, with nursery stuff one indentation in from there.",2,No - the try-ctach block will end after the first error is hit in the loop. It'll terminate after the first odd entry instead of handling them all.,2,"This asynchronously starts a function running, and lets you run other stuff in the meantime. It does not return anything.",2,Await waits a certain amount of time before doing something. We used it in the first task to do a timed delay before printing stuff. I don't know when to avoid using it.,0,5,6,"Generating code, Explaining concepts, Give usage examples",3,3,2,Moderate effort,Moderate effort,Moderate effort,No,25 minutes,26-30,Bachelor's degree,No,At work as a professional developer,3,4,4,1,2,"The first quiz (printing the *s) would have been much easier if I could just look up the syntax of appending to an array. I forgot it when doing the task - and normally, that'd take five seconds to google and would require no model assistance, but since I couldn't leave the tab, I got stuck.",,bq3lE-jx,No,Yes,,
COMPLETED,AI,V7NQATHVKC3H,Late (+ 1m 16s),6,19,2,9.5,12.00,V7NQATHVKC3H,7+ years,7+ years,4 - Regularly (once or twice a week),5 - I have written basic code using asynchronous functions,Yes,No,6 - I'm proficient with multiple AI coding assistants and use advanced prompting techniques,(B) It allows for concurrent execution of I/O-bound tasks without blocking,(B) The function pauses execution and allows other tasks to run until the awaited operation completes,(A) Because async functions cannot use traditional try/except blocks,"(C) A function that can be paused and resumed, allowing other code to run during pauses","(B) A synchronization primitive that maintains a set of permits, limiting the number of concurrent accesses to a shared resource",4,(C),(C),1,7/30/2025 12:59:16,No,Yes,(B) The function pauses execution and allows other tasks to run until the awaited operation completes,1,"(C) The exception propagates to the parent task, typically causing it to fail",1,"open a nursery using async with, then call nursery start_soon(example)",0,"Apple, Lemon, Orange",2,0s,1.0s,0.5s,1.5s,2,"""Value Error: Task 2 fails""",2,(A) 0.1s,race condition as they all try to append at the same time,0,"*yawn* Going to sleep, Woke up after 0 seconds!, there is no await.",2,fetch_data call needs await,2,I don't know,0,nursery not cleaned up because it is not inside a with statement,0,yes because there is no key conflict for the dict,0,I don't know,0,It blocks the current task while waiting for the subtask to finish. ,0,7,6,"Generating code, Explaining concepts",4,3,6,Very little effort,Very little effort,High effort,No,30 min,45+,Master's degree,No,"Personal projects and hobbies, Freelance/contract work",4,4,4,1,2,"By using the AI assistant, I feel like I got lazy. I didn't read the Trio library intro and code examples as closely as I would have otherwise.",,bNp39iAs,No,Yes,,
COMPLETED,AI,2WPMMCXRDMH4,In time (29m 18s),6,24,2,12,12.00,2wpmmcxrdmh4,7+ years,7+ years,5 - Frequently (several times a week),3 - I can read code using asynchronous functions and understand what is happening,Yes,No,6 - I'm proficient with multiple AI coding assistants and use advanced prompting techniques,(B) It allows for concurrent execution of I/O-bound tasks without blocking,(D) The function blocks all other operations until the awaited operation completes,(C) Because errors in one async task should not crash the entire application,"(C) A function that can be paused and resumed, allowing other code to run during pauses",(N) I don't know,3,(N) I don't know,(C),1,7/30/2025 14:06:00,Yes,Yes,(B) The function pauses execution and allows other tasks to run until the awaited operation completes,1,"(C) The exception propagates to the parent task, typically causing it to fail",1,"I would call `result = nursery.start_soon(example)`, as this should return the string ""Hello World"" back upon completion.",0,"""Apple"", ""Lemon"", ""Orange""",2,0s,1.0s,0.5s,1.5s,2,"""Value Error: Task 2 fails""",2,(A) 0.1s,"Instead of getting the result of process_item, the result will be a promise. The code should have used `result = nursery.start_soon(process_item, item)`.",0,I don't know,0,I don't know,0,I don't know,0,"trio.open_nursery() should be handled using `with`, like `with trio.open_nursery() as nursery:` and the start_soon should have been within that block.",2,"I would think not, because the error is passed up to the entire nursery, rather than being handled with the process that the nursery starts.",2,"The start_soon call handles the process that is spawned, and returns the result of that process.",0,"await lets the nursery work concurrently on other processes, so a process using await does not prevent other processes in the nursery from running. It is used only within async blocks. It should not be used with anything that is not asynchronous (e.g. time.sleep).",0,3,4,"Generating code, Explaining concepts, Give usage examples, Sanity checks (making sure things were correct before running)",4,5,6,Little effort,Moderate effort,High effort,No,29 minutes,26-30,Bachelor's degree,No,"Personal projects and hobbies, Freelance/contract work",4,5,4,1,1,"Very cool project, hope it goes well!",,BRbnaR9q,No,Yes,,
COMPLETED,AI,7272CKJWGH4F,In time (25m 16s),7,21,2,10.5,22.00,7272ckjwgh4f,4-6 years,4-6 years,6 - Daily (as part of my regular work/activities),4 - I have run code using asynchronous functions but haven't written any myself,Yes,No,3 - I occasionally use AI coding assistants for simple coding tasks or examples,(B) It allows for concurrent execution of I/O-bound tasks without blocking,(B) The function pauses execution and allows other tasks to run until the awaited operation completes,(C) Because errors in one async task should not crash the entire application,"(C) A function that can be paused and resumed, allowing other code to run during pauses","(B) A synchronization primitive that maintains a set of permits, limiting the number of concurrent accesses to a shared resource",5,(A),(C),2,7/30/2025 17:26:46,Yes,Yes,(B) The function pauses execution and allows other tasks to run until the awaited operation completes,1,"(C) The exception propagates to the parent task, typically causing it to fail",1,"start_soon doesn't return anything, so the result needs to be stored in a different variable in example(). It could be a global variable or a dict member variable of a class, for example. The call to nursery.start_soon() itself would look like nursery.start_soon(example).",2,Apple\nLemon\nOrange,2,0s,1.0s,0.5s,1.5s,2,"""Value Error: Task 2 fails""",2,(A) 0.1s,"The nursery is never used. The calls to process_item will be processed one at a time, not asynchronously. However, the code should still work, since the processing isn't data-intensive. Also, there is no call to process_data in the code snippet, so actually nothing will happen, strictly speaking.",2,"0 seconds, because the call to sleep is not awaited.",2,Each dictionary entry is itself a dictionary. This is probably unintended. fetch_data should just return a value to make this work as intended.,0,Open nursery call needs to use async with.,2,"This is not using the ""with"" structure that is intended for the nursery at all. Using ""async with"" is required to use the context that trio needs.",2,The result dict would be copied when it is passed to the invocation of get_user_id. As a result the dictionary would not still be populated at the end of the main method.,0,start_soon returns void and schedules an async invocation of the method with the given arguments into the event loop.,2,Await yields execution into the asynchronous event loop and resumes execution when the results of the call are available. I used it for calls to asynchronous methods like sleep. You can use it in any async method for calls that could take some time to return so the event loop can process other things.,2,5,5,"Generating code, Explaining concepts, Give usage examples",2,6,6,Moderate effort,High effort,High effort,No,24 minutes,31-35,Bachelor's degree,No,"At work as a professional developer, Personal projects and hobbies, Freelance/contract work",4,4,4,1,1,I would not have minded going into a little more depth with the assistant to really understand and prove out the details of the trio library. I feel like I got a pretty good overview but there are still a lot of gaps in my understanding.,,MstmXSQd,No,Yes,,
COMPLETED,AI,NDYYZ4MPDYZ9,In time (29m 58s),12,24,2,12,11.00,NDYYZ4MPDYZ9,7+ years,1-3 years,6 - Daily (as part of my regular work/activities),5 - I have written basic code using asynchronous functions,Yes,No,7 - I extensively use AI coding assistants for complex coding projects and have developed,(B) It allows for concurrent execution of I/O-bound tasks without blocking,(B) The function pauses execution and allows other tasks to run until the awaited operation completes,(C) Because errors in one async task should not crash the entire application,"(C) A function that can be paused and resumed, allowing other code to run during pauses","(B) A synchronization primitive that maintains a set of permits, limiting the number of concurrent accesses to a shared resource",5,(A),(C),2,7/30/2025 23:19:59,Yes,Yes,(B) The function pauses execution and allows other tasks to run until the awaited operation completes,1,"(C) The exception propagates to the parent task, typically causing it to fail",1,"You would do an async with trio.open_nursery() as nursery: and then in the block call result = await example().  I don't think you can call nursery.start_soon() and capture the results, the capturing seems to be related to the await call whereas start_soon() launches it asynchronously.",0,"Apple then Lemon then Orange (I think). This field doesn't let me do multiple lines, but Apple is definitely first because the parent continues running. I've not seen trio.run(main) before, not entirely certain what it does.",2,0s,1.0s,0.5s,1.5s,2,"""Value Error: Task 2 fails""",2,(A) 0.1s,I don't know if anything was spawned as I don't see a start_soon(),1,I don't know,0,I don't know,0,It should be await with trio.open_nursery() as nursery: not just with trio.open_nursery(),0,"There's no await with trio.open_nursery() as nursery: in there, I think it will blow up as soon as it tries to run, or it may never even call process_task. I don't now which will raise an exception, but I don't think anything will blow up.",0,"The get_user_id() method is modifying their copy of the my_results, not the underlying results that would have been part of the closure in my implementation, so nothing would evern print int main because its results is never set with anything.",0,"I don't know if it returns anything, but it launches the method inside of it asynchronously, as long as it was defined as an async function",1,"It pauses the thread in order to allow other things to process until the function it's calling returns, and then it picks up executing in that thread. I used it when getting the results of the closure function to get the results from the calls I was making. I'm not sure about when to avoid it, except when I'm calling a non-async function.",1,6,7,"Generating code, Rewriting / Improving Code, Give usage examples, Review the code I did to find errors",3,5,7,Very high effort,Moderate effort,Very high effort,No,30 mins,45+,Some college (no degree),No,At work as a professional developer,4,5,4,1,1,"I feel stupid from the warmup, but hopefully the other project demonstrated what I can do. Sorry if I wasted your time. ",,9ofD0xXx,No,Yes,,
